Temperature,Humidity,Wind Speed,Weather Condition,Date
14.47,60,2.21,scattered clouds,2024-12-02 21:00:00
14.16,48,2.17,broken clouds,2024-12-03 00:00:00
15.32,35,2.01,broken clouds,2024-12-03 03:00:00
21.42,24,2.31,scattered clouds,2024-12-03 06:00:00
23.11,21,3.37,clear sky,2024-12-03 09:00:00
18.09,31,3.27,clear sky,2024-12-03 12:00:00
15.65,37,2.85,clear sky,2024-12-03 15:00:00
14.69,37,2.56,clear sky,2024-12-03 18:00:00
13.89,37,2.53,clear sky,2024-12-03 21:00:00
13.11,37,2.56,clear sky,2024-12-04 00:00:00
14.18,31,2.34,clear sky,2024-12-04 03:00:00
21.19,19,2.37,clear sky,2024-12-04 06:00:00
23.02,16,2.84,clear sky,2024-12-04 09:00:00
17.8,24,2.81,clear sky,2024-12-04 12:00:00
15.17,27,2.76,clear sky,2024-12-04 15:00:00
14.28,26,2.04,clear sky,2024-12-04 18:00:00
13.48,25,1.93,few clouds,2024-12-04 21:00:00
12.55,25,1.56,scattered clouds,2024-12-05 00:00:00
13.64,24,1.7,clear sky,2024-12-05 03:00:00
19.98,16,1.82,clear sky,2024-12-05 06:00:00
21.92,14,2.16,clear sky,2024-12-05 09:00:00
16.38,21,1.37,clear sky,2024-12-05 12:00:00
14.08,24,2.23,clear sky,2024-12-05 15:00:00
13.29,26,2.09,clear sky,2024-12-05 18:00:00
12.57,27,1.79,clear sky,2024-12-05 21:00:00
11.78,27,1.83,clear sky,2024-12-06 00:00:00
12.92,26,1.7,clear sky,2024-12-06 03:00:00
19.45,16,1.93,clear sky,2024-12-06 06:00:00
21.32,13,2.57,clear sky,2024-12-06 09:00:00
15.72,20,2.12,clear sky,2024-12-06 12:00:00
13.32,23,2.27,clear sky,2024-12-06 15:00:00
12.89,22,1.81,scattered clouds,2024-12-06 18:00:00
12.48,22,2.0,overcast clouds,2024-12-06 21:00:00
11.98,23,1.76,overcast clouds,2024-12-07 00:00:00
12.9,23,1.26,overcast clouds,2024-12-07 03:00:00
18.24,16,2.05,overcast clouds,2024-12-07 06:00:00
19.67,16,2.42,few clouds,2024-12-07 09:00:00
14.99,23,1.31,clear sky,2024-12-07 12:00:00
12.84,26,2.82,clear sky,2024-12-07 15:00:00
12.6,27,3.08,broken clouds,2024-12-07 18:00:00
